year,facility,total emissions
2014,"WestRock CP, LLC - Tacoma",1173531
2015,"SEH America, Inc - Vancouver",9615
2017,City of Tacoma Solid Waste Facility - Tacoma,16417
2021,CertainTeed Gypsum - Seattle,55216
2014,Puget Sound Energy - Mint Farm Generating Station - Longview,508640
2016,"North Pacific Paper Company, LLC - Longview",37298
2014,Darigold - Lynden,21683
2014,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,32740
2013,"Rainier Veneer, Inc. - Spanaway",19279
2020,Alcoa Intalco Works - Ferndale,595364
2013,Alon Asphalt Company - Seattle,14336
2017,Riverside Feeders SFL - Kennewick,18863
2018,"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",64534
2016,U.S. Oil & Refining Co. - Tacoma,146049
2014,Naval Air Station Whidbey Island - Oak Harbor,15388
2020,Hampton Lumber Mills Washington Inc. - Darrington,82731
2021,"El Oro Cattle Feeders, LLC - Moses Lake",27314
2021,"Tyson Fresh Meats, Inc. - Wallula",106862
2012,City of Tacoma Solid Waste Facility - Tacoma,31986
2015,Ascensus Specialties LLC - Elma,17600
2015,Frederickson Power LP - Tacoma,496752
2020,bp Cherry Point Refinery - Blaine,2013167
2018,"Emerald Kalama Chemical, LLC - Kalama",60773
2018,Kettle Falls Generating Station - Kettle Falls,483652
2015,Inland Empire Paper Company - Spokane,29097
2020,Frederickson Power LP - Tacoma,369506
2016,Cheyne Landfill - Zillah,35837
2012,McCain Foods - Othello,107911
2013,Alcoa Intalco Works - Ferndale,1234637
2012,Steelscape - Kalama,23199
2015,Boeing Commercial Airplanes - Everett,66276
2013,Bonneville Power Administration - WA Only - statewide,42114
2019,Michelsen Packaging - Yakima,10695
2013,Lamb Weston - Quincy,39846
2015,Alcoa Wenatchee Works - Malaga,329048
2018,SDS Lumber Company - Bingen,69776
2014,Washington State University - Pullman,59384
2020,Avista Corporation - supplier,1097480
2015,The Boeing Company: Boeing Plant 2 - Seattle,21499
2013,Northwest Pipeline C/S - Mount Vernon,27886
2012,Georgia-Pacific Consumer Operations LLC - Camas,720457
2020,Cathcart Landfill - Snohomish,11396
2021,Naval Base Kitsap Bangor - Silverdale,20594
2015,Hampton Lumber Mills Washington Inc. - Morton,31789
2019,Georgia-Pacific Gypsum LLC - Tacoma,49200
2017,Packaging Corporation of America - Wallula,686313
2013,CertainTeed Gypsum - Seattle,35465
2016,Weyerhaeuser Raymond Lumber - Raymond,47372
2015,Cardinal FG Company - Winlock,105009
2016,Darigold - Sunnyside,31480
2017,Starbucks Kent Flexible Plant - Kent,14186
2020,Ardagh Glass Inc. - Seattle,58653
2020,Imerys Minerals Quincy Plant - Quincy,19010
2013,Northwest Hardwoods Inc. - Longview,14936
2016,Nippon Dynawave - Longview,1563256
2019,Washington Potato Company - Warden,29176
2016,Frito Lay - Vancouver,16373
2015,Avista Corporation - WA State DOE Reporting - statewide,22858
2014,Cowlitz County Tennant Way Landfill - Longview,10826
2017,"Rainier Veneer, Inc. - Spanaway",18569
2019,Sierra Pacific Industries - Centralia,58328
2014,J.R. Simplot Company - Othello,87301
2019,Tree Top - Prosser,15659
2012,Hidden Valley Landfill - Puyallup,7203
2019,Grays Harbor Energy Center - Elma,1337982
2014,Naval Base Kitsap - Bremerton,45961
2013,Northwest Hardwoods Inc. - Mount Vernon,12937
2020,Puget Sound Energy LDC - statewide,64322
2016,Gas Transmission Northwest Compressor Station 8 - Wallula,120374
2018,Goodrich Corporation - Spokane,43776
2020,River Road Generating Plant - Vancouver,635084
2014,Puget Sound Energy - Ferndale Generating Station - Ferndale,333193
2012,Packaging Corporation of America - Wallula,928399
2021,Lamb Weston - Warden,15407
2017,"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",126365
2015,REG Grays Harbor LLC - Hoquiam,13806
2019,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,19016
2020,H.W. Hill Landfill Gas Power Plant - Roosevelt,1633
